scene,outfit,pose,location,camera,category,emotion,lighting
bed selfie morning,oversized sleep shirt,lying on pillow holding phone above face messy hair spread out,messy bed with morning light across sheets,iPhone selfie from arm length above,selfies,sleepy gentle smile half-closed eyes,soft morning window light across face
gym mirror selfie,sports bra and high-waisted leggings,standing in front of gym mirror phone in hand slight hip shift,gym with mirror wall and weight rack behind,iPhone mirror selfie,selfies,confident determined expression slight smirk,bright gym fluorescent lights
elevator going out selfie,fitted going-out dress,standing in elevator mirror posing with phone visible,elevator with brushed steel walls and floor number display,close-up mirror selfie,selfies,confident flirty smirk head tilted,cold overhead elevator light
rooftop sunset leaning,fitted sundress,leaning on railing looking over shoulder wind in hair,city rooftop at golden hour with skyline behind,medium shot from below slightly,lifestyle,relaxed wistful smile looking at horizon,warm golden sunset side lighting
park walking path,light sundress with cardigan,walking on park path looking back at camera hair flowing,tree-lined park path with dappled sunlight,medium shot from behind mid-stride,lifestyle,carefree laughing expression,golden hour dappled sunlight through trees
café patio sitting,off-shoulder sweater and fitted jeans,sitting at outdoor table drink in hand chin resting on other hand,outdoor café with wrought iron chairs other diners plants,candid medium shot slightly off-center,lifestyle,warm laughing expression mid-conversation,warm afternoon sunlight
street mural leaning,crop top and high-waisted jeans,leaning against colorful mural wall one foot up,urban street with graffiti art wall,full body shot straight on,lifestyle,confident direct eye contact slight smile,soft overcast daylight
bookstore browsing,fitted turtleneck tucked into skirt,pulling book from shelf one hand on shelf leaning in,bookstore aisle with packed shelves and warm lighting,medium shot from end of aisle,lifestyle,curious focused expression slight lip bite,warm bookstore track lighting
gym arrival mirror,sports bra and high-waisted leggings,standing in gym lobby holding water bottle one hip shifted,gym entrance with rubber mats and check-in desk,iPhone mirror selfie,fitness,determined confident smirk,bright fluorescents mixed with glass door daylight
water break between sets,fitted athletic top and leggings flushed,sitting on gym bench holding water bottle leaning back,gym floor with equipment and mirrors behind,medium shot from side,fitness,exhausted satisfied grin cheeks flushed,harsh gym fluorescent lighting
yoga mat stretching,fitted sports top and yoga leggings,forward fold stretch on yoga mat,living room with couch pushed aside phone on floor,low angle from floor level,fitness,focused calm breathing expression,bright window light from one side creating shadows
running path shoe tie,athletic shorts and tank top,kneeling tying shoe on running path looking up,park running path with trees and morning mist,medium shot from slightly above,fitness,determined cheerful smile looking up at camera,soft morning golden light through trees
pool lounger sunglasses,one-piece swimsuit with sunglasses pushed up on head,reclining on pool lounger one knee bent,apartment pool area with plastic chairs and chain-link fence,medium shot from poolside,beach,relaxed confident smile sun on skin,bright midday sun with visible shadows
towel wrap poolside,towel wrapped around body wet hair,standing poolside holding hair back with one hand laughing,pool edge with wet concrete and chairs,medium shot casual candid,beach,genuine laughing expression caught mid-moment,bright harsh afternoon sun
beach shoreline walking,bikini top and flowy sarong,walking along waterline barefoot water splashing,beach with waves footprints and distant figures,full body shot from side mid-stride,beach,carefree wind-blown hair laughing,bright diffused overcast beach light
sand sitting sunset,sundress pulled over knees,sitting on sand knees up arms wrapped looking at ocean,beach at sunset with orange sky and gentle waves,medium shot from side golden silhouette,beach,wistful peaceful expression gazing at horizon,warm golden sunset backlighting
ocean rocks lookout,swimsuit with sheer coverup,standing on rocks looking out at ocean wind in hair,rocky coastline with crashing waves and blue sky,medium shot from slightly below,beach,contemplative strong expression,bright ocean-reflected daylight
airport gate waiting,cozy travel hoodie and leggings,sitting on airport bench with suitcase beside scrolling phone,airport gate with departure board and other travelers,medium shot from side,travel,tired amused half-smile,flat airport terminal fluorescents
hotel room mirror,casual fitted travel outfit and sneakers,mirror selfie in hotel room luggage on bed behind,hotel room with bed suitcase and generic art on wall,iPhone mirror selfie full body,travel,excited happy smile,warm hotel room lamp mixed with window light
balcony city view,sundress with wind catching fabric,leaning on balcony railing looking down at city below,hotel balcony with city skyline and rooftops,medium shot from inside through glass door,travel,relaxed amazed expression,golden hour city light from horizon
european street café,stylish fitted top and tailored pants,sitting at small round table coffee cup in hand people-watching,narrow European-style street with cobblestones and café chairs,candid medium shot slightly off-center,travel,amused worldly smile,warm afternoon European sunlight
diner booth late night,low-cut fitted cami top and denim jacket on shoulders,sitting in booth leaning forward elbows on table chin in hand,retro diner with red vinyl seats ketchup bottle and napkin dispenser,medium shot across table friend perspective,social,flirty amused smirk direct eye contact,warm diner pendant light with neon glow from window
bar night out,fitted deep-v top and leather pants,leaning against bar rail cocktail in hand looking sideways,dim bar with bottles on shelf string lights other patrons blurred,close-up from side dramatic angle,social,sultry knowing half-smile,warm amber bar lighting with blue neon accents
rooftop cocktail party,silky cami top and tailored wide-leg pants wind in hair,standing at rooftop rail cocktail in hand city behind,rooftop bar with string lights guests blurred city skyline twilight,medium shot slightly below eye level,social,confident relaxed expression,golden blue hour with warm string lights
restaurant brunch patio,sundress with thin straps,sitting at outdoor table mid-laugh fork raised,restaurant patio with iron chairs half-eaten plates mimosa other diners,candid medium shot off-center,social,genuine open-mouth laughing eyes crinkled,dappled sunlight through patio umbrella
friend outing sidewalk,fitted tank with flannel tied at waist and cutoff shorts,standing laughing arm linked with someone cropped out of frame,busy sidewalk outside bar with bouncer and people in background,candid medium shot motion blur on background,social,uncontrollable genuine laughter head tilted back,mixed streetlight and neon at dusk
sunlit pillow face,fitted sleep cami and shorts,lying face down on pillow one eye open reaching for phone,bedroom with sunlit sheets and alarm clock on nightstand,close-up from mattress level,morning,groggy squinting one-eyed smile,sharp morning sunbeams cutting through blinds
bathroom counter lean,ribbed crop top and pajama shorts,leaning on bathroom counter brushing teeth looking at mirror,bathroom with cluttered counter products and small window,medium shot mirror reflection,morning,amused morning eyes half-open,soft grey dawn light from small window
balcony morning coffee,thin strappy camisole and sleep shorts,standing on small balcony holding coffee looking at street below,apartment balcony with railing potted plant and city morning,medium shot from inside through sliding door,morning,peaceful contemplative morning expression,warm early morning golden side light
bed stretch wakeup,oversized band tee riding up,lying in bed mid-stretch arms above head back slightly arched,tangled sheets with morning sunlight across bed,overhead shot from above,morning,relaxed yawning expression eyes squeezing shut,bright morning window light casting body shadows
candle bath evening,towel wrapped hair up shoulders visible,sitting on edge of bathtub candles on ledge looking at phone,bathroom with candles running water and steam,close-up from waist up warm tones,cozy,relaxed content soft smile,warm flickering candlelight mixed with dim overhead
cooking dinner kitchen,fitted cropped tee and plaid pajama pants,standing at stove stirring pot one hand on hip,kitchen with steam rising cutting board mess spice jars wine glass,medium shot from kitchen table angle,cozy,content humming expression eyes on pot,warm kitchen overhead mixed with stove steam glow
pet cuddling couch,oversized hoodie sleeves pulled over hands,lying on couch cuddling with cat or small dog,living room couch with blanket pet toys on floor,close-up from couch arm level,cozy,adoring gentle smile looking at pet,warm soft lamp light evening
journaling bed,fitted long-sleeve henley and underwear legs crossed,sitting cross-legged on bed writing in journal,bedroom with fairy lights pillows and tea on nightstand,medium shot from side slightly above,cozy,thoughtful focused expression pen to lips,warm fairy light glow with soft lamp
face mask selfie,spa robe loosely tied hair in towel,sitting on bathroom floor holding phone sheet mask on face,bathroom floor with skincare products and towel,iPhone selfie from above,cozy,silly amused expression through face mask,bright bathroom overhead light
target parking lot,fitted sundress and sneakers,walking through parking lot bags in hand looking back at camera,shopping center parking lot with cars and carts,full body shot from behind mid-walk,errands,playful over-shoulder glance smile,flat overcast afternoon light
drive-through window,casual crop top and jean shorts,sitting in car at drive-through leaning toward window,car interior with fast food drink in cupholder and drive-through speaker,iPhone selfie from passenger seat angle,errands,silly grin mid-order,mixed car interior light with drive-through menu glow
mall escalator,fitted top and high-waisted pants shopping bags in hand,standing on escalator looking down at phone one hand on rail,shopping mall with other shoppers and store signs,medium shot from slightly below on escalator,errands,distracted neutral expression scrolling,bright mall interior lighting
laundromat machine,baggy crop sweatshirt and leggings,sitting on washing machine legs dangling scrolling phone,laundromat with rows of machines vending machine one other person,medium shot from across aisle,errands,bored absent expression not looking at camera,flat fluorescent with warm evening from windows
pharmacy aisle,oversized denim jacket over tank and shorts,standing in aisle comparing two products holding them up,pharmacy store aisle with fluorescent lights and product shelves,medium shot candid from end of aisle,errands,confused amused expression comparing products,harsh flat fluorescent store lights
new outfit mirror,fitted dress just purchased tags still on,standing in bedroom mirror checking new outfit from angle,bedroom with shopping bags on bed and closet door open,iPhone mirror selfie full body,selfies,excited pleased expression checking self out,warm bedroom lamp with daylight from window
post-shower towel,hair in towel body in robe loosely tied,standing in foggy bathroom mirror freshly showered,steamy bathroom with fogged mirror and towel rack,iPhone mirror selfie,selfies,fresh clean relaxed expression,warm bright bathroom overhead with steam diffusion
sunset rooftop selfie,going-out outfit fitted top and skirt,standing on rooftop holding phone wind catching hair city behind,rooftop with skyline at sunset string lights,iPhone selfie from slightly above,selfies,confident beautiful smile golden light on face,golden hour sunset direct warmth
backseat car selfie,casual outfit hoodie unzipped over crop top,sitting in backseat of car looking bored out window phone held up,car backseat with passing city visible through window,iPhone selfie from arm length,selfies,bored pouty expression looking away then at camera,diffused city light through car windows
work desk selfie,fitted blouse slightly unbuttoned,sitting at desk computer behind holding phone up one hand in hair,office desk or home workspace with monitor and coffee,iPhone selfie from desk level,selfies,tired amused end-of-day smile,flat office or desk lamp lighting
bedroom golden hour,fitted tank top,sitting on bed cross-legged facing window golden light on face,bedroom with golden hour light streaming through window sheets glowing,medium shot from side silhouette,selfies,peaceful serene expression eyes half-closed,intense golden hour directional light
locker room post-workout,gym outfit slightly sweaty hair messy,standing in locker room mirror phone in hand post-workout glow,gym locker room with lockers and bench,iPhone mirror selfie,fitness,accomplished proud slight smirk,harsh fluorescent locker room lights
outdoor stairs run,athletic crop top and running shorts,jogging up outdoor concrete stairs mid-stride,outdoor concrete stairs with trees and city visible behind,medium shot from below looking up,fitness,intense determined expression mid-effort,bright outdoor daylight from above
resistance band workout,fitted athletic set,standing with resistance band doing bicep curl,home gym or living room with yoga mat and dumbbells,medium shot from front,fitness,focused strong expression slight strain,bright window light creating muscle definition shadows
spin class mirror,fitted athletic top and shorts on bike,sitting on spin bike leaning forward hands on handlebars,spin class room with other bikes mirrors and dim colored lights,medium shot from mirror reflection,fitness,intense breathless expression cheeks red,dim colored studio lighting with bright mirror flash
post-run park bench,athletic tank and shorts slightly sweaty,sitting on park bench catching breath water bottle in hand,park bench with trees and path behind other joggers distant,medium shot from side,fitness,exhausted happy grin chest heaving,dappled morning sunlight through trees
jump rope backyard,sports bra and fitted shorts,mid-jump rope feet off ground hair flying up,backyard or outdoor area with fence and grass,freeze-frame medium shot,fitness,playful energetic expression mid-jump,bright direct outdoor sunlight
sunset boardwalk walking,flowy maxi skirt and fitted crop top,walking along wooden boardwalk wind blowing skirt and hair,beach boardwalk with ocean visible wooden railing and distant figures,full body shot from behind looking back,beach,radiant carefree smile wind in face,warm golden sunset from horizon
pool floatie candid,swimsuit,lying on pool float one arm trailing in water sunglasses on,apartment pool with blue water and poolside chairs,overhead shot from above looking down,beach,relaxed lazy half-smile eyes closed behind sunglasses,bright overhead midday sun on water
hammock beach,bikini with sheer coverup,lying in hammock between palm trees scrolling phone,beach with palm trees hammock and sand,medium shot from side slightly below,beach,completely relaxed peaceful expression,warm filtered sunlight through palm fronds
dock feet dangling,sundress,sitting on wooden dock bare feet dangling over water looking at lake,lake dock with calm water trees on opposite shore,medium shot from behind slightly to side,beach,tranquil thoughtful expression looking at water,soft overcast diffused lake light
pier sunset silhouette,fitted summer outfit,walking along pier at sunset silhouetted against sky,ocean pier with railing and setting sun,full body shot from behind golden silhouette,beach,content peaceful walking posture,dramatic sunset backlighting golden orange
train window countryside,cozy sweater and jeans,chin resting on hand looking out train window at passing scenery,train seat with countryside blurring past through window,close-up from seat across,travel,dreamy contemplative expression,soft natural light from train window
hostel bunk morning,oversized tee and shorts,sitting on bottom bunk bed messy hair holding phone,hostel room with bunk beds backpack and lockers,medium shot from across room,travel,sleepy disoriented amused half-smile,harsh hostel overhead fluorescent mixed with window
market browsing abroad,casual fitted dress,standing at outdoor market stall looking at items one hand touching products,colorful outdoor market with stalls vendors and other shoppers,medium shot candid from side,travel,fascinated curious expression examining something,bright outdoor market daylight
rooftop pool hotel,one-piece swimsuit,sitting on edge of rooftop pool feet in water city skyline behind,rooftop infinity pool with skyline and lounge chairs,medium shot from slightly behind and above,travel,relaxed amazed expression taking in view,bright blue sky with warm afternoon sun
karaoke night,fitted top with jacket,holding microphone laughing mid-song eyes squeezed shut,karaoke room with colored lights screen with lyrics and drinks on table,close-up from waist up,social,uncontrollable laughing expression mid-song,colorful neon karaoke room lights
wine night in friend,casual fitted sweater wine glass in hand,sitting on floor cross-legged leaning against couch wine glass raised,living room floor with wine bottle cheese board and candles,medium shot from across room,social,warm tipsy genuine laughing expression,warm candlelight mixed with dim lamp
bowling alley,fitted vintage tee and jeans,standing at bowling lane about to throw ball looking back at camera,bowling alley with lanes neon scoring screens and rental shoes,full body shot from behind at lane,social,playful competitive grin looking over shoulder,bright bowling alley overhead with neon accents
music festival crowd,crop top tied-up flannel and shorts,standing in crowd holding drink looking at stage hand raised,outdoor music festival with stage lights crowd and dusk sky,medium shot from slightly behind,social,ecstatic excited expression mouth open cheering,mixed stage lights and dusk sky with crowd silhouettes
late night pizza,going-out clothes slightly disheveled,sitting on curb outside pizza shop holding slice,sidewalk outside pizza shop with neon sign and other late-night people,medium shot from street level,social,happy messy drunk-eating grin,warm neon pizza shop glow mixed with streetlight
professional headshot studio,off-shoulder fitted top hair styled with soft curls,seated on stool angled three-quarter pose relaxed shoulders,photography studio with grey seamless backdrop softbox edge visible,Canon 85mm f1.4 shallow depth of field,professional,warm confident smile with soft eyes,two-light studio butterfly lighting with fill
professional full-body portrait,form-fitting midi dress with heels accentuating figure,standing with one hand on hip slight weight shift contrapposto,photography studio with white backdrop and reflector at edge,Canon 70-200mm full length,professional,poised elegant slight smirk,three-point studio lighting with rim light and beauty dish
outdoor golden hour editorial,flowy sundress caught in wind clinging to body,walking barefoot on gravel path hair blowing looking over shoulder,countryside field at sunset with wildflowers and fence line,Canon 85mm f1.2 golden backlight,professional,dreamy ethereal soft smile,golden hour backlighting with subtle lens flare
urban rooftop editorial,fitted blazer over lace-trim cami and tailored trousers,leaning on rooftop railing cityscape behind wind in hair,city rooftop at blue hour with skyline lights and concrete ledge,Sony 35mm wide establishing shot,professional,intense direct gaze lips slightly parted,blue hour ambient with city lights below
fashion street style night,leather jacket over cropped fitted top and high-waisted jeans,mid-stride crossing crosswalk looking at camera hair in motion,busy city intersection at night with taxi headlights and wet pavement,Nikon 50mm street photography,professional,effortlessly cool unbothered expression,mixed streetlights neon and headlights on wet road
studio close-up beauty shot,strapless top shoulders exposed dewy skin,face and shoulders only slight head tilt chin up,photography studio with solid dark backdrop,Canon 100mm macro beauty lens,professional,sultry confident eyes narrowed slight smile,ring light with soft fill creating catchlights
garden editorial golden hour,flowing white dress,standing among tall flowers one hand brushing petals,lush garden with roses lavender and stone path,Canon 85mm f1.4 shallow depth,professional,gentle serene expression looking down at flowers,warm golden hour sidelight with green garden glow
architectural minimalist portrait,fitted black bodysuit,standing against concrete wall one arm raised resting on wall,modern architecture with clean concrete and geometric shadows,Sony 24mm architectural angle,professional,strong composed intense expression,hard directional light creating dramatic shadow lines
vintage film editorial,high-waisted jeans and fitted cropped cardigan,leaning on vintage car elbow on roof other hand in hair,classic car in empty parking lot at golden hour,shot on 35mm film grain visible warm tones,professional,nostalgic cool expression distant gaze,warm golden hour with visible film grain and soft focus edges
rain editorial urban,fitted dark outfit wet from rain,walking on wet city street rain falling umbrella held behind shoulder,city street at night rain puddles reflecting neon lights,Canon 50mm f1.2 rain visible in light,professional,fierce determined expression rain on face,neon reflections in rain with streetlight backlighting
farmers market morning,fitted sundress and woven tote bag,browsing produce stall holding a peach up examining it,outdoor farmers market with colorful produce stalls and morning crowds,medium shot from side candid,lifestyle,interested genuine smile examining fruit,bright morning outdoor market daylight
record store browsing,cropped vintage band tee and fitted jeans,flipping through vinyl records one hand pulling out an album,indie record store with posters on walls and crate shelving,medium shot from across aisle,lifestyle,focused curious expression slight nostalgic smile,warm tungsten overhead store lights
sunset picnic park,fitted tank and flowy skirt,sitting on blanket with charcuterie spread legs tucked to one side,park grass with picnic blanket wine and city skyline in distance,medium shot from slightly above,lifestyle,warm relaxed laughing expression mid-conversation,warm golden sunset sidelight on grass
window shopping evening,leather jacket and fitted dress,standing in front of lit store window looking at display reflection visible,city street at evening with store window display glowing,full body shot reflection visible in glass,lifestyle,intrigued thoughtful expression examining window,warm store window glow mixed with blue evening sky
apartment plant watering,cropped fitted top and high-waisted shorts,standing by apartment window watering plants with small watering can,apartment with houseplants shelf and window with city view,medium shot from side natural,lifestyle,content calm nurturing expression,soft afternoon window light through plants
bus window commute,casual jacket over fitted top and jeans,sitting on bus chin on hand looking out window at passing city,city bus seat with other passengers and passing buildings,close-up from opposite seat candid,travel,thoughtful daydreaming expression,diffused city light through bus window
night flight arrival,cozy travel outfit slightly rumpled,walking through airport terminal pulling carry-on looking at signs,airport arrivals terminal with bright signs crowds and luggage carts,full body shot from behind walking,travel,tired but excited determined expression,bright flat airport terminal lighting
